"key_ID","notification_ID","notification_by","start_date","start_year","end_date","end_year","response_ID","response_type","response_by"
164,"TRIS:1989:0191:DE:N","Germany",1989-08-07,1989,1990-02-23,1990,"TRIS:1989:0191:DE:C:EC","opinion","Commission"
165,"TRIS:1989:0194:NL:N","Netherlands",1989-08-09,1989,1990-08-12,1990,"TRIS:1989:0194:NL:C:BE","opinion","Belgium"
166,"TRIS:1989:0194:NL:N","Netherlands",1989-08-09,1989,1990-08-12,1990,"TRIS:1989:0194:NL:C:FR","opinion","France"
167,"TRIS:1989:0194:NL:N","Netherlands",1989-08-09,1989,1990-08-12,1990,"TRIS:1989:0194:NL:C:UK","opinion","United Kingdom"
168,"TRIS:1989:0195:DK:N","Denmark",1989-08-09,1989,1990-01-03,1990,"TRIS:1989:0195:DK:C:EC","comment","Commission"
169,"TRIS:1989:0197:FR:N","France",1989-08-11,1989,1990-03-14,1990,"TRIS:1989:0197:FR:C:DE","opinion","Germany"
170,"TRIS:1989:0197:FR:N","France",1989-08-11,1989,1990-03-14,1990,"TRIS:1989:0197:FR:C:EC","comment","Commission"
171,"TRIS:1989:0197:FR:N","France",1989-08-11,1989,1990-03-14,1990,"TRIS:1989:0197:FR:C:IE","opinion","Ireland"
172,"TRIS:1989:0197:FR:N","France",1989-08-11,1989,1990-03-14,1990,"TRIS:1989:0197:FR:C:IT","comment","Italy"
173,"TRIS:1989:0197:FR:N","France",1989-08-11,1989,1990-03-14,1990,"TRIS:1989:0197:FR:C:IT","opinion","Italy"
174,"TRIS:1989:0197:FR:N","France",1989-08-11,1989,1990-03-14,1990,"TRIS:1989:0197:FR:C:UK","opinion","United Kingdom"
175,"TRIS:1989:0200:NL:N","Netherlands",1989-08-16,1989,1990-02-19,1990,"TRIS:1989:0200:NL:C:BE","comment","Belgium"
176,"TRIS:1989:0200:NL:N","Netherlands",1989-08-16,1989,1990-02-19,1990,"TRIS:1989:0200:NL:C:DE","opinion","Germany"
177,"TRIS:1989:0200:NL:N","Netherlands",1989-08-16,1989,1990-02-19,1990,"TRIS:1989:0200:NL:C:EC","opinion","Commission"
178,"TRIS:1989:0200:NL:N","Netherlands",1989-08-16,1989,1990-02-19,1990,"TRIS:1989:0200:NL:C:UK","opinion","United Kingdom"
179,"TRIS:1989:0201:BE:N","Belgium",1989-08-16,1989,1990-03-01,1990,"TRIS:1989:0201:BE:C:EC","opinion","Commission"
180,"TRIS:1989:0201:BE:N","Belgium",1989-08-16,1989,1990-03-01,1990,"TRIS:1989:0201:BE:C:FR","comment","France"
181,"TRIS:1989:0202:BE:N","Belgium",1989-08-16,1989,1990-03-05,1990,"TRIS:1989:0202:BE:C:FR","opinion","France"
182,"TRIS:1989:0203:UK:N","United Kingdom",1989-08-16,1989,1990-02-19,1990,"TRIS:1989:0203:UK:C:FR","opinion","France"
183,"TRIS:1989:0204:UK:N","United Kingdom",1989-08-18,1989,1990-02-19,1990,"TRIS:1989:0204:UK:C:DE","opinion","Germany"
184,"TRIS:1989:0204:UK:N","United Kingdom",1989-08-18,1989,1990-02-19,1990,"TRIS:1989:0204:UK:C:EC","opinion","Commission"
185,"TRIS:1989:0205:IT:N","Italy",1989-08-18,1989,1990-02-09,1990,"TRIS:1989:0205:IT:C:FR","opinion","France"
186,"TRIS:1989:0206:BE:N","Belgium",1989-08-18,1989,1990-02-23,1990,"TRIS:1989:0206:BE:C:EC","opinion","Commission"
187,"TRIS:1989:0207:DE:N","Germany",1989-08-18,1989,1989-11-27,1989,"TRIS:1989:0207:DE:C:FR","comment","France"
