"key_ID","year","comment_by_ID","comment_by","comment_by_code","count_comments"
632,2012,24,"Slovakia","SK",8
633,2012,25,"Slovenia","SI",10
634,2012,26,"Bulgaria","BG",2
635,2012,27,"Romania","RO",8
636,2012,29,"Iceland","IS",0
637,2012,30,"Liechtenstein","LI",0
638,2012,31,"Norway","NO",0
639,2012,32,"Switzerland","CH",0
640,2012,33,"Turkey","TR",0
641,2012,34,"Commission","EC",134
642,2012,35,"European Free Trade Association","EFTA",0
643,2013,1,"Belgium","BE",0
644,2013,2,"France","FR",13
645,2013,3,"Germany","DE",24
646,2013,4,"Italy","IT",9
647,2013,5,"Luxembourg","LU",0
648,2013,6,"Netherlands","NL",2
649,2013,7,"Denmark","DK",2
650,2013,8,"Ireland","IE",2
651,2013,9,"United Kingdom","UK",8
652,2013,10,"Greece","EL",1
653,2013,11,"Portugal","PT",0
654,2013,12,"Spain","ES",14
655,2013,13,"Austria","AT",3
656,2013,14,"Finland","FI",5
657,2013,15,"Sweden","SE",2
658,2013,16,"Cyprus","CY",0
659,2013,17,"Czech Republic","CZ",4
660,2013,18,"Estonia","EE",0
661,2013,19,"Hungary","HU",1
662,2013,20,"Latvia","LV",0
663,2013,21,"Lithuania","LT",0
664,2013,22,"Malta","MT",2
665,2013,23,"Poland","PL",11
666,2013,24,"Slovakia","SK",3
667,2013,25,"Slovenia","SI",4
668,2013,26,"Bulgaria","BG",0
669,2013,27,"Romania","RO",5
670,2013,28,"Croatia","HR",7
671,2013,29,"Iceland","IS",0
672,2013,30,"Liechtenstein","LI",0
673,2013,31,"Norway","NO",0
674,2013,32,"Switzerland","CH",0
675,2013,33,"Turkey","TR",0
676,2013,34,"Commission","EC",162
677,2013,35,"European Free Trade Association","EFTA",0
678,2014,1,"Belgium","BE",0
679,2014,2,"France","FR",9
680,2014,3,"Germany","DE",34
681,2014,4,"Italy","IT",7
682,2014,5,"Luxembourg","LU",0
683,2014,6,"Netherlands","NL",0
684,2014,7,"Denmark","DK",1
685,2014,8,"Ireland","IE",1
686,2014,9,"United Kingdom","UK",10
687,2014,10,"Greece","EL",0
688,2014,11,"Portugal","PT",0
689,2014,12,"Spain","ES",6
690,2014,13,"Austria","AT",9
691,2014,14,"Finland","FI",0
